,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
69,0.16129517555236816,0.00877186465216162,0.11527972221374512,0.0029125842037366393,gini,7,101,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 101}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8076923076923077,0.835820895522388,0.0957379153997932,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,0.13881344795227052,0.0031989279477445906,0.10466666221618652,0.0010959558004583955,gini,8,11,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 11}",0.8214285714285714,0.9629629629629629,0.8518518518518519,0.8846153846153846,0.7692307692307693,0.8582089552238806,0.06460131187786591,21,0.9905660377358491,1.0,0.9906542056074766,0.9907407407407407,1.0,0.9943921968168132,0.0045790854141876105
71,0.12590255737304687,0.0044529952028264045,0.11306924819946289,0.003091819735670069,gini,8,21,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 21}",0.75,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.7692307692307693,0.8432835820895522,0.07867017841610721,98,1.0,0.9906542056074766,1.0,0.9907407407407407,1.0,0.9962789892696435,0.0045573709653781306
72,0.1375722885131836,0.005914341530230084,0.12149405479431152,0.013482903773225492,gini,8,31,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 31}",0.7857142857142857,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8076923076923077,0.8656716417910447,0.06856264702899124,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,0.15292696952819823,0.005144919086008577,0.10497555732727051,0.0005267176704846136,gini,8,41,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 41}",0.7857142857142857,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8076923076923077,0.8656716417910447,0.06856264702899124,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,0.17133698463439942,0.0060038623312916595,0.11067790985107422,0.0028590152268289704,gini,8,51,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 51}",0.7857142857142857,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8076923076923077,0.8656716417910447,0.06856264702899124,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75,0.1576456069946289,0.00549153845628396,0.11144957542419434,0.0018166017322010035,gini,8,61,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 61}",0.75,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8461538461538461,0.8656716417910447,0.07471557851669051,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
76,0.14892306327819824,0.004599965488131183,0.11543636322021485,0.0029043234270643525,gini,8,71,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 71}",0.7142857142857143,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8461538461538461,0.8582089552238806,0.08671616295323258,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
77,0.1719989776611328,0.023506009709746804,0.11253957748413086,0.008072216646790104,gini,8,81,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 81}",0.7142857142857143,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8076923076923077,0.8432835820895522,0.08384255664718715,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,0.167207670211792,0.005010277590303078,0.10697145462036133,0.001428844015724447,gini,8,91,"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 91}",0.7142857142857143,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8507462686567164,0.08203472417251918,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0
